Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Meppelerstraatweg-Zuid,6,0.2,0.4,0.2,0.2,0.4,0.3,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255,375,19800,29100
Bedrijventerrein Floresstraat,5,0.1,0.4,0.2,0.2,0.3,0.3,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,415,26600,61300
Wipstrik-Noord,63,1.9,3.7,2,2.0,3.5,3.3,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320,3060,29500,68400
Wipstrik-Zuid,66,1.9,4.4,2.1,2.3,3.7,3.5,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860,3405,23100,42300
Stationsbuurt,28,0.8,1.6,0.9,0.9,1.6,1.5,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805,1420,26800,47300
Oud-Assendorp,79,2.3,4.6,2.5,2.4,4.4,4.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,4190,23400,39200
Nieuw-Assendorp,56,1.7,3.2,1.8,1.7,3.2,3.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540,3170,21500,44300
Wezenlanden,14,0.4,0.8,0.4,0.4,0.8,0.7,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370,615,24200,40200
Pierik,38,1.1,2.2,1.2,1.2,2.2,2.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095,2160,20700,40800
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,0.0,?,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,35,?,?
Hanzeland,17,0.5,1.3,0.5,0.7,1,0.9,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1020,29400,56100
Kamperpoort,20,0.6,1.5,0.6,0.8,1.1,1.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820,1335,19100,31100
Veerallee,35,1.0,1.9,1.1,1.0,2,1.8,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680,1450,29200,62300
Bedrijventerrein Voorst-A,1,0.0,0.1,0,0.1,0.1,0.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,60,?,?
Bedrijventerrein Voorst-B,?,0.0,0.0,?,0.0,?,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,?,?
Spoolde,7,0.2,0.4,0.2,0.2,0.4,0.4,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,310,26400,71200
Oud-Westenholte,42,1.2,2.8,1.3,1.5,2.4,2.2,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935,2325,20700,51500
Westenholte-Stins,42,1.3,3.2,1.3,1.7,2.4,2.2,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125,2785,21700,53700
Vreugderijk,4,0.1,0.3,0.1,0.2,0.2,0.2,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,190,26100,76300
Bedrijventerrein Voorst-C,?,0.0,0.0,?,0.0,?,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,?,?
Bedrijventerrein Voorst-D,?,0.0,0.0,?,0.0,?,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,?,?
Frankhuis,66,2.0,6.2,2.1,3.3,3.7,3.5,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,6000,22600,67800
Mastenbroek,2,0.0,0.0,0.1,0.0,0.1,0.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,60,?,?
Schoonhorst,58,1.7,5.1,1.8,2.7,3.3,3.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845,4485,24000,58300
Werkeren,47,1.4,4.1,1.5,2.2,2.7,2.5,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315,4240,23900,77100
Milligen,78,2.3,8.0,2.5,4.2,4.4,4.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700,7080,24500,64200
Tippe bij de IJssel,?,0.0,0.0,?,0.0,?,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,?,?
Breecamp,0,0.0,1.0,0,0.5,0,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,880,19900,54700
Breezicht,0,0.0,0.0,0,0.0,0,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,?,?
Stadsbroek,2,0.0,0.1,0.1,0.1,0.1,0.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,55,?,?
Holtenbroek IV,54,1.6,3.6,1.7,1.9,3.1,2.9,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1710,3115,17900,32600
Holtenbroek I,13,0.4,2.0,0.4,1.1,0.8,0.7,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845,1825,22800,49200
Holtenbroek II,45,1.3,2.6,1.4,1.4,2.5,2.4,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305,2575,17700,34900
Holtenbroek III,43,1.3,2.6,1.4,1.4,2.4,2.3,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150,2420,17100,36000
Aa-landen-Zuid,40,1.2,2.9,1.3,1.5,2.3,2.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075,2250,19200,40200
Aa-landen-Midden,72,2.1,4.3,2.3,2.3,4.1,3.8,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935,3695,22100,42200
Aa-landen-Noord,72,2.1,4.4,2.3,2.3,4.1,3.8,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625,3785,23500,54700
Aa-landen-Oost,60,1.8,3.9,1.9,2.1,3.4,3.2,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1445,3275,23300,52800
Brinkhoek,22,0.7,1.2,0.7,0.6,1.3,1.2,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,605,45700,104300
Langenholte,3,0.1,0.2,0.1,0.1,0.2,0.2,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,110,32700,102800
Haerst,7,0.2,0.5,0.2,0.3,0.4,0.4,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,295,25900,72800
Berkum,79,2.3,4.6,2.5,2.4,4.5,4.2,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595,3705,26500,61600
Bedrijventerrein de Vrolijkheid,0,0.0,0.0,0,0.0,0,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,?,?
Veldhoek,8,0.2,0.4,0.3,0.2,0.5,0.4,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,235,35500,92700
Kantorenterrein Oosterenk,0,0.0,0.0,0,0.0,0,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10,?,?
Bedrijventerrein Hessenpoort,2,0.1,0.1,0.1,0.1,0.1,0.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,70,?,?
Tolhuislanden,3,0.1,0.2,0.1,0.1,0.2,0.2,0.62,0.22,0.0,0.0,0.0,0.0,0.0,9.9,0.0,50,185,17600,65100
Herfte,10,0.3,0.6,0.3,0.3,0.6,0.5,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,380,23700,69300
Bedrijventerrein Marslanden-Zuid,0,0.0,0.0,0,0.0,0,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,135,?,?
Wijthmen,14,0.4,0.9,0.5,0.5,0.8,0.8,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,620,22100,58300
Oud-Schelle,23,0.7,1.5,0.7,0.8,1.3,1.2,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460,1185,26200,67500
Schellerhoek,15,0.4,1.3,0.5,0.7,0.9,0.8,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345,1035,27600,82800
Schellerbroek,27,0.8,1.9,0.9,1.0,1.5,1.4,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670,1510,27800,62700
Schellerlanden,46,1.3,3.5,1.4,1.8,2.6,2.4,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195,2820,25900,61100
Oldenelerlanden-Oost,36,1.1,2.9,1.1,1.6,2,1.9,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005,2495,23600,58600
Oldenelerlanden-West,23,0.7,1.9,0.7,1.0,1.3,1.2,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560,1480,27500,72700
Oldenelerbroek,50,1.5,4.0,1.6,2.1,2.8,2.6,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395,3420,25900,63500
Schelle-Zuid en Oldeneel,5,0.2,0.3,0.2,0.2,0.3,0.3,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,190,28900,91500
Katerveer-Engelse werk,14,0.4,0.8,0.4,0.4,0.8,0.7,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,590,36200,112400
Oud-Ittersum,24,0.7,1.5,0.8,0.8,1.4,1.3,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520,1290,22800,56600
Ittersumerlanden,54,1.6,4.5,1.7,2.4,3,2.8,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805,3915,20800,45100
Ittersumerbroek,35,1.0,2.9,1.1,1.5,2,1.9,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,2470,25600,63200
Geren,11,0.3,1.0,0.3,0.5,0.6,0.6,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490,830,21100,35700
Gerenlanden,53,1.6,3.9,1.7,2.1,3,2.8,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235,3215,23500,61200
Gerenbroek,46,1.4,3.7,1.5,2.0,2.6,2.4,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1185,3215,23200,62900
Oude Mars,1,0.0,0.1,0,0.0,0,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,75,?,?
Windesheim,8,0.2,0.5,0.2,0.3,0.4,0.4,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,400,22900,61100
Harculo en Hoog-Zuthem,9,0.3,0.5,0.3,0.3,0.5,0.5,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,475,24700,90300
